epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,863.675,1.44503,1.61395,1.42183,0.34926,0.37922,0.34973,0.19377,1.81655,2.30385,1.77122,0.00108947,0.00108947,0.00108947
26,902.824,1.43113,1.59973,1.41081,0.35942,0.39605,0.33721,0.17309,1.83126,2.24138,1.78867,0.00107532,0.00107532,0.00107532
27,940.283,1.43495,1.58903,1.4152,0.3602,0.3675,0.31265,0.16648,1.78415,2.28439,1.73264,0.00106118,0.00106118,0.00106118
28,979.402,1.43138,1.57103,1.41336,0.36673,0.41475,0.36563,0.19593,1.8294,2.13564,1.76859,0.00104703,0.00104703,0.00104703
29,1018.59,1.418,1.56346,1.40136,0.37534,0.40466,0.35626,0.19232,1.79215,2.10801,1.76442,0.00103288,0.00103288,0.00103288
30,1057.8,1.41271,1.52856,1.39851,0.39365,0.42573,0.35919,0.19561,1.80094,2.24554,1.73616,0.00101873,0.00101873,0.00101873
31,1097.02,1.41428,1.53273,1.39852,0.38886,0.44106,0.37184,0.20149,1.83505,2.20512,1.76993,0.00100459,0.00100459,0.00100459
32,1136.21,1.38849,1.50012,1.37719,0.4,0.40842,0.36478,0.19996,1.79451,2.16753,1.7396,0.00099044,0.00099044,0.00099044
33,1175.34,1.38612,1.5098,1.3808,0.38465,0.41162,0.37303,0.20025,1.83506,2.10197,1.75837,0.000976293,0.000976293,0.000976293
34,1214.43,1.38231,1.46978,1.3762,0.37272,0.44618,0.39167,0.2184,1.78885,2.50932,1.75296,0.000962146,0.000962146,0.000962146
35,1253.69,1.37583,1.4734,1.37904,0.37963,0.47296,0.40403,0.21983,1.79142,2.34582,1.73276,0.000947999,0.000947999,0.000947999
36,1292.79,1.38364,1.47729,1.3716,0.39917,0.4375,0.38137,0.20677,1.82641,2.15534,1.762,0.000933851,0.000933851,0.000933851
37,1331.85,1.35983,1.42878,1.35647,0.37968,0.44619,0.38238,0.20723,1.79443,2.34017,1.74981,0.000919704,0.000919704,0.000919704
38,1370.72,1.35468,1.39628,1.35718,0.41758,0.4403,0.37222,0.20293,1.76708,2.17441,1.70723,0.000905557,0.000905557,0.000905557
39,1404.87,1.36753,1.39991,1.36556,0.39822,0.42823,0.37866,0.20876,1.78728,2.18272,1.73495,0.00089141,0.00089141,0.00089141
40,1438.73,1.36044,1.4073,1.35859,0.37713,0.45503,0.37394,0.20345,1.7742,2.20886,1.74043,0.000877263,0.000877263,0.000877263
41,1472.61,1.35357,1.37876,1.35627,0.41818,0.4448,0.39138,0.21067,1.79898,2.18839,1.73766,0.000863116,0.000863116,0.000863116
42,1506.66,1.34768,1.37791,1.34448,0.38696,0.46552,0.38659,0.21512,1.76182,2.19514,1.72626,0.000848969,0.000848969,0.000848969
43,1540.65,1.33833,1.36085,1.35142,0.4271,0.45474,0.40771,0.22334,1.80839,2.15086,1.77027,0.000834822,0.000834822,0.000834822
44,1574.47,1.34455,1.33528,1.33861,0.40624,0.49354,0.40249,0.22066,1.8134,2.13435,1.74369,0.000820675,0.000820675,0.000820675
45,1608.44,1.33078,1.33582,1.33184,0.43388,0.47886,0.41525,0.23276,1.76377,2.08996,1.73384,0.000806528,0.000806528,0.000806528
46,1642.43,1.31706,1.31128,1.3218,0.43292,0.45804,0.40576,0.22485,1.78798,2.05353,1.74063,0.00079238,0.00079238,0.00079238
47,1676.3,1.31212,1.31464,1.324,0.43447,0.49262,0.41084,0.22848,1.78445,2.08756,1.73901,0.000778233,0.000778233,0.000778233
48,1710,1.31428,1.29841,1.32169,0.42687,0.47736,0.42388,0.23276,1.78228,2.00775,1.73727,0.000764086,0.000764086,0.000764086
49,1744.26,1.31464,1.29231,1.32675,0.42799,0.43756,0.39368,0.21902,1.77406,2.12705,1.7181,0.000749939,0.000749939,0.000749939
50,1778.15,1.3023,1.29769,1.31429,0.46708,0.44605,0.41364,0.22567,1.78154,1.96572,1.73298,0.000735792,0.000735792,0.000735792
51,1812.26,1.30248,1.28411,1.32506,0.42651,0.49213,0.42332,0.23194,1.76082,2.08805,1.71417,0.000721645,0.000721645,0.000721645
52,1846.36,1.29429,1.25236,1.29899,0.43519,0.49788,0.42164,0.23538,1.77557,2.0507,1.7272,0.000707498,0.000707498,0.000707498
53,1880.29,1.28081,1.22352,1.29837,0.42373,0.50552,0.41115,0.22959,1.78927,2.18185,1.7464,0.000693351,0.000693351,0.000693351
54,1914.19,1.27563,1.19212,1.29473,0.45186,0.45121,0.41561,0.23223,1.79196,2.03285,1.7496,0.000679204,0.000679204,0.000679204
55,1948.07,1.26188,1.20821,1.2949,0.4479,0.47057,0.41136,0.23136,1.78337,2.10099,1.75163,0.000665057,0.000665057,0.000665057
56,1982.11,1.27395,1.22146,1.2973,0.47861,0.46448,0.42421,0.23981,1.7719,2.03762,1.72721,0.000650909,0.000650909,0.000650909
57,2016.01,1.26132,1.19499,1.29975,0.4279,0.51087,0.4241,0.24035,1.75281,2.10364,1.72822,0.000636762,0.000636762,0.000636762
58,2049.99,1.2637,1.17029,1.28225,0.47023,0.51038,0.43869,0.24618,1.785,1.99104,1.73573,0.000622615,0.000622615,0.000622615
59,2083.94,1.25627,1.18276,1.28775,0.44478,0.50204,0.43163,0.24233,1.77385,2.08931,1.72819,0.000608468,0.000608468,0.000608468
60,2118.19,1.23594,1.14265,1.27181,0.45886,0.49316,0.43856,0.24614,1.76135,1.95006,1.71558,0.000594321,0.000594321,0.000594321
61,2151.97,1.25239,1.16045,1.28854,0.45611,0.53805,0.45349,0.25477,1.75838,2.08679,1.72289,0.000580174,0.000580174,0.000580174
62,2185.95,1.22491,1.13177,1.26338,0.45782,0.52281,0.43417,0.24467,1.76265,2.0988,1.73143,0.000566027,0.000566027,0.000566027
63,2220.05,1.22595,1.11713,1.2672,0.46903,0.5085,0.4414,0.24598,1.7737,2.01501,1.74249,0.00055188,0.00055188,0.00055188
64,2254.04,1.23466,1.12835,1.27722,0.45381,0.50893,0.42358,0.2384,1.76987,2.09346,1.74136,0.000537733,0.000537733,0.000537733
65,2287.8,1.22442,1.09297,1.25647,0.47371,0.51248,0.44862,0.25216,1.7781,1.95061,1.74797,0.000523586,0.000523586,0.000523586
66,2321.56,1.21288,1.07937,1.24832,0.47865,0.48197,0.42479,0.23846,1.77732,2.03743,1.74519,0.000509438,0.000509438,0.000509438
67,2355.53,1.21169,1.08749,1.2578,0.48296,0.52555,0.43655,0.23926,1.79228,1.99355,1.75807,0.000495291,0.000495291,0.000495291
68,2389.23,1.22222,1.07861,1.2582,0.46957,0.55358,0.45015,0.25191,1.76861,1.95593,1.73355,0.000481144,0.000481144,0.000481144
69,2423.02,1.21332,1.07108,1.25373,0.45963,0.51209,0.43898,0.24722,1.74804,1.97635,1.71665,0.000466997,0.000466997,0.000466997
70,2457.26,1.19091,1.0511,1.24978,0.45693,0.55391,0.44706,0.25138,1.7546,2.04633,1.73217,0.00045285,0.00045285,0.00045285
71,2491.23,1.19921,1.06259,1.24606,0.46196,0.53534,0.44091,0.24786,1.75417,2.03185,1.72752,0.000438703,0.000438703,0.000438703
72,2525.26,1.19475,1.05074,1.24771,0.46778,0.5449,0.43525,0.24323,1.77014,2.01471,1.73986,0.000424556,0.000424556,0.000424556
73,2559.02,1.18589,1.02398,1.2363,0.50181,0.52366,0.45124,0.25249,1.74507,2.01627,1.72794,0.000410409,0.000410409,0.000410409
74,2592.96,1.17972,1.0238,1.24121,0.47213,0.5463,0.44551,0.24957,1.76539,2.02581,1.73711,0.000396262,0.000396262,0.000396262
75,2626.85,1.17755,1.02203,1.23921,0.46149,0.55202,0.44375,0.25068,1.76994,2.04668,1.73874,0.000382115,0.000382115,0.000382115
76,2660.61,1.17452,1.02271,1.23371,0.48632,0.51934,0.44551,0.24771,1.76725,2.01762,1.74214,0.000367967,0.000367967,0.000367967
77,2694.59,1.15766,0.99655,1.21944,0.50813,0.52449,0.46773,0.26182,1.76346,2.01361,1.73921,0.00035382,0.00035382,0.00035382
78,2728.5,1.16695,1.00867,1.2318,0.47264,0.55852,0.4601,0.25813,1.76722,1.97443,1.73536,0.000339673,0.000339673,0.000339673
79,2762.23,1.16541,0.98135,1.22165,0.46551,0.543,0.45006,0.25323,1.76158,1.97692,1.73583,0.000325526,0.000325526,0.000325526
80,2796,1.15139,0.96838,1.2248,0.47552,0.55876,0.45823,0.25568,1.76765,2.01226,1.73948,0.000311379,0.000311379,0.000311379
81,2830.18,1.14854,0.9584,1.21587,0.48452,0.55993,0.45661,0.25832,1.77266,1.99409,1.73515,0.000297232,0.000297232,0.000297232
82,2863.97,1.14008,0.94991,1.20573,0.49594,0.54685,0.46005,0.25932,1.75903,2.02373,1.72958,0.000283085,0.000283085,0.000283085
83,2898.1,1.13707,0.9442,1.21228,0.48644,0.55936,0.45603,0.25693,1.76574,2.02296,1.71834,0.000268938,0.000268938,0.000268938
84,2931.9,1.13232,0.93466,1.20193,0.49381,0.54431,0.45337,0.25565,1.7789,2.04895,1.74681,0.000254791,0.000254791,0.000254791
85,2965.86,1.11665,0.92239,1.20004,0.51318,0.55914,0.45968,0.25543,1.78005,2.0417,1.75655,0.000240644,0.000240644,0.000240644
86,2999.66,1.11909,0.92091,1.19824,0.52426,0.54478,0.45829,0.25706,1.77164,2.04491,1.74529,0.000226497,0.000226497,0.000226497
87,3033.33,1.12053,0.92355,1.2015,0.50406,0.55826,0.45918,0.25848,1.77286,2.01309,1.74526,0.000212349,0.000212349,0.000212349
88,3067.37,1.11977,0.90669,1.19317,0.51585,0.55638,0.46654,0.2632,1.7711,2.03563,1.74723,0.000198202,0.000198202,0.000198202
89,3101.27,1.09749,0.88597,1.17934,0.51122,0.55687,0.45819,0.25826,1.77149,2.03794,1.7437,0.000184055,0.000184055,0.000184055
90,3135.24,1.11239,0.90169,1.1915,0.52162,0.55477,0.46575,0.2606,1.77572,2.0375,1.75191,0.000169908,0.000169908,0.000169908
91,3174.7,1.1491,0.89163,1.22679,0.50747,0.55041,0.46126,0.25943,1.77572,2.00441,1.74665,0.000155761,0.000155761,0.000155761
92,3208.53,1.13875,0.87763,1.22788,0.52485,0.54301,0.46904,0.26255,1.77205,1.97782,1.74598,0.000141614,0.000141614,0.000141614
93,3242.34,1.13396,0.85367,1.21798,0.50898,0.56234,0.46751,0.2616,1.78367,2.03328,1.7549,0.000127467,0.000127467,0.000127467
94,3275.95,1.12149,0.83864,1.21055,0.54806,0.5305,0.4679,0.26196,1.77729,2.03764,1.75184,0.00011332,0.00011332,0.00011332
95,3309.7,1.11057,0.8221,1.20681,0.55507,0.53463,0.47561,0.26689,1.77225,2.01416,1.7497,9.91726e-05,9.91726e-05,9.91726e-05
96,3343.88,1.11072,0.82481,1.20357,0.53531,0.54012,0.47132,0.26381,1.77409,2.00577,1.75187,8.50255e-05,8.50255e-05,8.50255e-05
97,3377.61,1.0924,0.81042,1.19779,0.53401,0.54445,0.46849,0.26308,1.77476,2.01883,1.74902,7.08784e-05,7.08784e-05,7.08784e-05
98,3411.36,1.09727,0.80827,1.20083,0.52915,0.56394,0.47221,0.26292,1.77012,2.02673,1.74796,5.67313e-05,5.67313e-05,5.67313e-05
99,3445.49,1.08466,0.79521,1.191,0.52574,0.56252,0.46671,0.26145,1.77447,2.05178,1.75399,4.25842e-05,4.25842e-05,4.25842e-05
100,3478.99,1.09247,0.80185,1.20199,0.53516,0.54753,0.46916,0.26191,1.77467,2.06166,1.75271,2.84371e-05,2.84371e-05,2.84371e-05
