epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1059,1.72638,2.70256,1.64192,0.2488,0.25118,0.20471,0.09733,2.31297,3.62966,2.134,0.000474772,0.000474772,0.000474772
2,69.4237,1.76085,2.40333,1.67008,0.18711,0.20136,0.14714,0.0716,2.28614,3.58653,2.06077,0.000941689,0.000941689,0.000941689
3,103.629,1.75091,2.33855,1.65791,0.16374,0.20699,0.15255,0.07026,2.07845,3.84937,2.03785,0.00139917,0.00139917,0.00139917
4,137.643,1.73625,2.29829,1.64784,0.24425,0.2611,0.22171,0.10961,2.14227,2.8401,1.98914,0.00138656,0.00138656,0.00138656
5,171.814,1.69714,2.21003,1.62643,0.26256,0.29883,0.23101,0.11262,2.02697,3.30111,1.93193,0.00137241,0.00137241,0.00137241
6,205.804,1.65373,2.11676,1.57471,0.27746,0.27648,0.25079,0.13095,1.96092,2.76445,1.8851,0.00135826,0.00135826,0.00135826
7,239.903,1.6433,2.09188,1.56787,0.28529,0.2906,0.24187,0.12484,2.00194,2.9146,1.89874,0.00134412,0.00134412,0.00134412
8,273.95,1.62072,2.05316,1.54443,0.26313,0.30669,0.24856,0.12196,2.0131,2.51292,1.91567,0.00132997,0.00132997,0.00132997
9,308.455,1.61497,1.99333,1.54045,0.29144,0.29772,0.27159,0.13421,2.01496,2.75498,1.86931,0.00131582,0.00131582,0.00131582
10,345.28,1.57122,1.93854,1.51589,0.29756,0.34135,0.27528,0.14067,1.99249,2.70378,1.88948,0.00130168,0.00130168,0.00130168
11,379.493,1.56981,1.92105,1.51569,0.35237,0.31755,0.29285,0.14611,1.95734,2.5359,1.85275,0.00128753,0.00128753,0.00128753
12,413.47,1.55571,1.87426,1.50622,0.35995,0.35232,0.31223,0.16319,1.93353,2.41324,1.85854,0.00127338,0.00127338,0.00127338
13,447.558,1.53712,1.82867,1.49091,0.31902,0.32873,0.29283,0.15375,1.85444,2.437,1.78239,0.00125923,0.00125923,0.00125923
14,481.474,1.53273,1.83641,1.4951,0.31173,0.33298,0.29812,0.15504,1.91125,2.67103,1.84987,0.00124509,0.00124509,0.00124509
15,515.443,1.52358,1.84287,1.48548,0.32798,0.34109,0.29937,0.1574,1.90347,2.55462,1.81446,0.00123094,0.00123094,0.00123094
16,549.445,1.51333,1.80224,1.47991,0.34229,0.3496,0.31932,0.17162,1.83954,2.55092,1.7788,0.00121679,0.00121679,0.00121679
17,583.371,1.50914,1.78107,1.47506,0.36633,0.33989,0.32384,0.17575,1.85506,2.30752,1.81098,0.00120265,0.00120265,0.00120265
18,617.379,1.5123,1.75402,1.46501,0.3398,0.36013,0.31764,0.16568,1.86211,2.31067,1.79102,0.0011885,0.0011885,0.0011885
19,651.524,1.4993,1.72569,1.46196,0.32692,0.37743,0.31669,0.16943,1.8421,2.50197,1.80788,0.00117435,0.00117435,0.00117435
20,685.623,1.49135,1.70319,1.45362,0.34364,0.40187,0.33458,0.18158,1.82408,2.38296,1.77875,0.00116021,0.00116021,0.00116021
21,719.861,1.46315,1.65745,1.43471,0.33667,0.39397,0.32866,0.17647,1.81488,2.53557,1.76944,0.00114606,0.00114606,0.00114606
22,753.774,1.45666,1.67514,1.43373,0.34453,0.34718,0.3389,0.18128,1.86777,2.52363,1.8372,0.00113191,0.00113191,0.00113191
23,787.857,1.4523,1.63373,1.42452,0.38018,0.41719,0.34348,0.17722,1.85615,2.37437,1.75479,0.00111776,0.00111776,0.00111776
24,824.562,1.45184,1.62637,1.41413,0.38322,0.38172,0.35124,0.19333,1.81794,2.33691,1.76101,0.00110362,0.00110362,0.00110362
