epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0017,1.7479,2.8355,1.68118,0.11808,0.25513,0.12328,0.05081,2.14268,3.744,2.06468,0.000369107,0.000369107,0.000369107
2,68.5047,1.78314,2.44047,1.69571,0.52176,0.17554,0.15066,0.07252,2.13654,3.44986,2.06603,0.000718525,0.000718525,0.000718525
3,101.899,1.75743,2.32671,1.67582,0.20907,0.22404,0.17289,0.08229,2.05883,2.68688,2.00311,0.00104699,0.00104699,0.00104699
4,135.146,1.73462,2.25725,1.65883,0.24056,0.26766,0.20913,0.09224,2.15442,2.93799,2.02665,0.00101672,0.00101672,0.00101672
5,168.309,1.71914,2.22234,1.6418,0.21304,0.29433,0.21847,0.10328,2.02002,2.55253,1.92429,0.000985298,0.000985298,0.000985298
6,201.44,1.65772,2.10394,1.60798,0.28164,0.30152,0.21716,0.10212,2.01084,2.65897,1.9164,0.000953873,0.000953873,0.000953873
7,234.715,1.63186,2.03789,1.57008,0.34233,0.36232,0.2655,0.12566,1.94179,2.36231,1.88444,0.000922447,0.000922447,0.000922447
8,268.387,1.60522,1.98534,1.56169,0.31643,0.37277,0.27674,0.12645,1.935,2.41522,1.87516,0.000891022,0.000891022,0.000891022
9,301.82,1.60201,1.98039,1.56055,0.31582,0.33719,0.26942,0.11732,1.96472,2.32769,1.88174,0.000859597,0.000859597,0.000859597
10,335.183,1.56342,1.89581,1.5285,0.33417,0.36122,0.28311,0.13098,1.90723,2.3393,1.85956,0.000828171,0.000828171,0.000828171
11,368.449,1.56707,1.90133,1.5329,0.31568,0.36785,0.28401,0.13269,1.89767,2.33182,1.84193,0.000796746,0.000796746,0.000796746
12,401.768,1.55287,1.87366,1.5186,0.28979,0.39027,0.26901,0.11925,1.93871,2.34926,1.85849,0.00076532,0.00076532,0.00076532
13,435.149,1.51462,1.83522,1.5041,0.30156,0.40544,0.29245,0.13853,1.85153,2.19827,1.815,0.000733895,0.000733895,0.000733895
14,468.428,1.52345,1.80263,1.50669,0.33342,0.38671,0.30099,0.13936,1.8729,2.1749,1.83022,0.000702469,0.000702469,0.000702469
15,501.898,1.50826,1.74215,1.4909,0.30332,0.40712,0.28857,0.13772,1.85655,2.33732,1.81268,0.000671044,0.000671044,0.000671044
16,535.055,1.48391,1.72172,1.47007,0.34329,0.40563,0.32513,0.15575,1.81823,2.14951,1.79916,0.000639619,0.000639619,0.000639619
17,568.333,1.47391,1.70745,1.46804,0.31697,0.44574,0.34609,0.16086,1.81846,2.35208,1.79308,0.000608193,0.000608193,0.000608193
18,601.882,1.46524,1.6876,1.4617,0.30894,0.44491,0.3332,0.16019,1.8238,2.39927,1.80633,0.000576768,0.000576768,0.000576768
19,635.187,1.47454,1.65676,1.46672,0.38064,0.40049,0.32978,0.15887,1.81386,2.12084,1.79957,0.000545342,0.000545342,0.000545342
20,668.409,1.46325,1.62817,1.45562,0.34332,0.39889,0.3339,0.15841,1.81571,2.093,1.76865,0.000513917,0.000513917,0.000513917
21,701.597,1.44762,1.61784,1.45172,0.37665,0.42546,0.31735,0.14888,1.82525,2.09238,1.78314,0.000482491,0.000482491,0.000482491
22,734.798,1.42904,1.56524,1.43636,0.38151,0.45104,0.36065,0.17658,1.77316,1.99865,1.73549,0.000451066,0.000451066,0.000451066
23,767.976,1.43202,1.55962,1.42913,0.39493,0.41769,0.34594,0.16587,1.79961,2.05241,1.76517,0.000419641,0.000419641,0.000419641
24,801.068,1.41445,1.52686,1.42329,0.3766,0.44461,0.35669,0.17497,1.78054,1.99614,1.75096,0.000388215,0.000388215,0.000388215
25,834.249,1.40774,1.53615,1.41772,0.36011,0.44947,0.35851,0.1732,1.80041,1.97139,1.76866,0.00035679,0.00035679,0.00035679
26,879.762,1.45541,1.50808,1.49071,0.39445,0.45167,0.38244,0.1824,1.78079,1.94199,1.73902,0.000325364,0.000325364,0.000325364
27,912.976,1.434,1.49303,1.47936,0.39304,0.45063,0.35949,0.16978,1.80182,2.04566,1.77603,0.000293939,0.000293939,0.000293939
28,945.965,1.421,1.43471,1.46796,0.43727,0.44801,0.39595,0.18936,1.76185,1.9559,1.73945,0.000262513,0.000262513,0.000262513
29,979.676,1.41008,1.41255,1.46315,0.3972,0.47525,0.37584,0.18062,1.77671,2.00256,1.74402,0.000231088,0.000231088,0.000231088
30,1012.79,1.38773,1.3628,1.44112,0.38478,0.47098,0.37943,0.18506,1.765,2.0002,1.73349,0.000199663,0.000199663,0.000199663
31,1046.19,1.3693,1.32307,1.43014,0.40097,0.48624,0.38556,0.18463,1.77209,1.98805,1.74434,0.000168237,0.000168237,0.000168237
32,1079.33,1.36618,1.30809,1.43056,0.39419,0.47982,0.38486,0.18787,1.76369,2.01007,1.72922,0.000136812,0.000136812,0.000136812
33,1112.5,1.34392,1.26844,1.40619,0.39417,0.49031,0.3924,0.19275,1.75408,1.97915,1.73136,0.000105386,0.000105386,0.000105386
34,1145.56,1.33414,1.23873,1.40208,0.42269,0.49827,0.40049,0.19473,1.75656,1.94832,1.72847,7.39609e-05,7.39609e-05,7.39609e-05
35,1178.55,1.32572,1.23589,1.40287,0.41468,0.50328,0.40074,0.19677,1.75595,1.95594,1.72452,4.25354e-05,4.25354e-05,4.25354e-05
